,Mass,RT,FORMULA,Isomers,Putative metabolite,confidence,Map,Pathway,max intensity,Fold change rings,Fold change schizonts,Fold change trophs,urbcs,ttest: rings,ttest: schizonts,ttest: trophs,ttest: urbcs,Mean: rings,Mean: schizonts,Mean: trophs,Mean: urbcs,SD: rings,SD: schizonts,SD: trophs,SD: urbcs,RSD: rings,RSD: schizonts,RSD: trophs,RSD: urbcs,Fisher: rings,Fisher: schizonts,Fisher: trophs,Fisher: urbcs,PeakID
392,445.319098817683,4.11983333587645,C27H43NO4,2,N-oleoyl tyrosine,5.0,Lipids: Fatty Acyls,Fatty amides,579215,0.838682163931675,0.225240040200942,0.392809231607478,1,0.750147656955941,0.211085397161331,0.291181958918567,1.0,262042.91796875,70375.3578125,122731.6875,312446.036458333,96555.6471167229,21297.2602965899,14278.4342176887,231330.198065974,0.36847264511166,0.302623829683849,0.116338612370898,0.740384485872086,0.0404298162117805,1.08581095041796,0.670014637169373,0.0,p462
394,371.303264091648,7.31891916910807,C21H41NO4,2,N-stearoyl serine,7.0,Lipids: Fatty Acyls,Fatty amides,1573570,0.789646487235208,0.232410582028937,0.31670913544333,1,0.815793770847963,0.412605773533104,0.457457792062603,1.0,497935.03515625,146553.3921875,199710.34765625,630579.6875,437586.175286438,66194.156914905,75372.9220701763,816685.029143768,0.878801739968198,0.451672635664525,0.377411200544858,1.29513374016471,0.0204956361122972,0.348967490463339,0.275993259693578,0.0,p1808
395,447.334977125705,4.11601168314615,C27H45NO4,1,N-stearoyl tyrosine,5.0,Lipids: Fatty Acyls,Fatty amides,2187270,0.638198629521918,0.22849940506364,0.30332310218447,1,0.249039241504717,0.0726957119906933,0.0910581290686731,1.0,967870.515625,346534.490625,460009.5859375,1516566.27083333,274363.415567881,146421.987380498,73710.1171652699,599661.178353733,0.283471199027808,0.422532219278998,0.1602360459838,0.395407170716138,0.692316908092722,3.59279807314937,3.05816532657375,0.0,p450
528,446.37584259121,3.62757834116617,C29H50O3,4,Nebrosteroid M,5.0,Lipids: Sterol Lipids,Sterols,224668,1.32434392466806,1.46147847674005,1.41195013456699,1,0.178902528198135,0.0675987589532821,0.0762559261974332,1.0,161846.8984375,178605.990625,172553.17578125,122209.114583333,38247.4840068862,41857.3090692767,14361.1812367022,28822.0908792543,0.236318918534334,0.234355571852906,0.0832275683810551,0.23584239995128,0.685021618727958,1.23148234237924,2.44419570362815,0.0,p609
397,231.147096132115,8.09494306776258,C11H21NO4,3,O-Butanoylcarnitine,7.0,Lipids: Fatty Acyls,Fatty acyl carnitines,5369428,0.570602077160595,0.309370860465782,0.276500012397597,1,0.581701809014995,0.397819427174052,0.37991617615013,1.0,1335210.703125,723928.8125,647010.921875,2340003.22916667,938484.919326601,412467.664632353,198931.454700583,2623558.96494828,0.702874023650439,0.569762741184381,0.30746228228125,1.12117749764072,0.130040185673965,0.370285795447655,0.414036389455216,0.0,p1170
391,399.334775820804,7.1933858235677,C23H45NO4,1,O-Palmitoyl-R-carnitine,8.0,Lipids: Fatty Acyls,Fatty acyl carnitines,8548092,0.767549978327112,0.25993038449123,0.403493251046415,1,0.795827536519681,0.416690708027078,0.499156079526033,1.0,2670528.484375,904373.025,1403869.78125,3479289.375,2696857.1581591,387266.168293437,328458.812424934,4390780.93578596,1.00985897508233,0.428215081153529,0.233966723133306,1.26197635854476,0.0246344637961132,0.341253657345177,0.2221798886769,0.0,p1020
399,217.131434875983,9.02040841844347,C10H19NO4,1,O-Propanoylcarnitine,7.0,Lipids: Fatty Acyls,OxidationofBranchedFattyAcids,60466552,0.577179241977164,0.248893174722132,0.238626429954823,1,0.60176241948065,0.381882707449791,0.376686008701999,1.0,14854955.75,6405804.0,6141567.125,25737162.1666667,10772760.956233,3833038.29801352,3096820.91335368,30112339.175712,0.725196435286118,0.598369587644817,0.504239528824442,1.16999453866409,0.115781968271285,0.405560121792539,0.41904312220062,0.0,p416
325,284.271509089362,3.5916256904602,C18H36O2,26,Octadecanoic acid,6.0,Lipid Metabolism,Fatty acid biosynthesis__Biosynthesis of unsaturated fatty acids,96488880,1.00917134461822,0.56962504579993,1.10779928322353,1,0.979423595968926,0.231629669169925,0.800783840259124,1.0,49472607.5,27924729.0,54307645.0,49023000.6666667,20980248.1636868,10806127.0839709,30560644.1277023,21970027.6865475,0.424078075199227,0.386973391361145,0.562731897649076,0.44815754620843,0.000219044983339812,0.742570233415305,0.0197139446882873,0.0,n45
330,436.258700591692,7.30783752441405,C21H41O7P,5,PA(18:1(9Z)/0:0),5.0,Lipid Metabolism,Glycerolipid metabolism__Glycerophospholipid metabolism,314439,0.807866909586615,0.352552113224256,0.485983370890963,1,0.195969196820384,0.00579474206938929,0.015516089549959,1.0,220834.7578125,96372.01328125,132846.1640625,273355.369791667,34770.8596825122,65375.3070964139,46602.0952635659,48427.1406037891,0.157451933866473,0.678364027797406,0.350797447502067,0.177158182920266,0.776099880037714,4.73221735143418,4.37084016541464,0.0,n1265
327,434.243141138813,7.29974500020345,C21H39O7P,3,"PA(18:2(9Z,12Z)/0:0)",5.0,Lipid Metabolism,Glycerolipid metabolism__Glycerophospholipid metabolism,119552,1.02919633588865,0.529293684613821,0.842480033607885,1,0.92765974625152,0.223209942195454,0.651118782903076,1.0,79532.189453125,40901.7056640625,65103.498046875,77276.0130208333,15253.1706169413,26130.0772957017,24845.7639716317,36728.5415830917,0.191786127375901,0.638850553331825,0.381634853994213,0.47529032810207,0.00321837843243832,0.651201848904257,0.0753548746511792,0.0,n1272
422,674.488415905611,3.46012914021808,C37H71O8P,19,PA(34:1),5.0,Lipids: Glycerophospholipids,Glycerophosphates,2157978,1.86085659338306,1.50887788353005,2.42747187448622,1,0.0919476337798203,0.0925079180090465,0.00278310717085026,1.0,1403025.78125,1137645.2,1830235.40625,753967.708333333,537645.975297004,66764.2150006508,191243.220932315,226715.151722241,0.383204629937732,0.0586863241726426,0.104491050866597,0.300696103051152,1.23736334926234,2.63544115678009,13.16702341939,0.0,n151
