	mean_Ring 	mean_Trophozoite 	mean_Schizont 	reaction
SM 17:0	-0.5199999999999999	0.13000000000000012	-0.033333333333333215	p
SM 18:0	-2.1733333333333333	-0.6000000000000005	-1.3966666666666674	p
SM 18:1	-0.9066666666666667	-0.12222222222222356	-0.4666666666666668	p
SM 19:0	-0.3633333333333333	-0.19333333333333327	-0.11666666666666661	p
SM 20:0	-0.7900000000000003	-0.31333333333333324	-0.6000000000000001	p
SM 20:1	-0.7766666666666668	-0.1688888888888901	-0.15666666666666684	p
SM 21:0	-0.65	-0.08666666666666667	-0.24333333333333335	p
SM 22:0	-3.0633333333333335	0.06222222222223195	-1.3533333333333335	p
SM 22:1	-1.4466666666666672	-0.4722222222222241	-0.9700000000000002	p
SM 22:2	-0.37666666666666665	-0.1733333333333333	-0.17666666666666667	p
SM 23:0	-0.5766666666666669	0.38000000000000034	-0.023333333333333428	p
SM 23:1	-0.3833333333333335	-0.0677777777777766	-0.48	p
SM 24:0	-6.079999999999998	5.2788888888889005	-0.7699999999999996	p
SM 24:1	-6.913333333333334	5.737777777777765	-1.9866666666666646	p
SM 24:2	-1.626666666666666	2.3222222222222335	0.5566666666666675	p
SM 24:3	-0.5166666666666667	0.1266666666666667	0.016666666666666607	p
SM 25:0	0.006666666666666599	0.38	0.18333333333333324	p
SM 25:1	-0.4666666666666667	0.14888888888888996	-0.043333333333333335	p
SM 26:0	-0.29000000000000004	0.21333333333333337	-0.1433333333333333	p
SM 26:1	-0.27333333333333365	0.4111111111111099	0.22999999999999976	p
SM 26:2	-0.31	0.4322222222222235	0.2833333333333333	p
TAG (48:0) 14:0_14:0_20:0	0.3622222222222222		1.4222222222222223	p
TAG (48:0) 14:0_16:0_18:0	0.3622222222222222		1.4222222222222223	p
TAG (48:0) 16:0_16:0_16:0	0.3622222222222222		1.4222222222222223	p
TAG (50:0) 14:0_16:0_20:0			0.4088888888888889	p
TAG (50:0) 14:0_18:0_18:0			0.4088888888888889	p
TAG (50:0) 16:0_16:0_18:0			0.4088888888888889	p
TAG (50:1) 14:0_16:0_20:1		0.26142857142857145	4.745238095238094	p
TAG (50:1) 14:0_16:1_20:0		0.26142857142857145	4.745238095238094	p
TAG (50:1) 14:0_18:0_18:1		0.26142857142857145	4.745238095238094	p
TAG (50:1) 14:1_16:0_20:0		0.26142857142857145	4.745238095238094	p
TAG (50:1) 14:1_18:0_18:0		0.26142857142857145	4.745238095238094	p
TAG (50:1) 16:0_16:0_18:1		0.26142857142857145	4.745238095238094	p
TAG (50:1) 16:0_16:1_18:0		0.26142857142857145	4.745238095238094	p
TAG (50:2) 14:0_16:1_20:1			1.9990476190476192	p
TAG (50:2) 14:0_18:1_18:1			1.9990476190476192	p
TAG (50:2) 14:1_16:0_20:1			1.9990476190476192	p
TAG (50:2) 14:1_16:1_20:0			1.9990476190476192	p
TAG (50:2) 14:1_18:1_18:0			1.9990476190476192	p
TAG (50:2) 16:0_16:1_18:1			1.9990476190476192	p
TAG (50:2) 16:1_16:1_18:0			1.9990476190476192	p
TAG (52:1) 14:0_18:0_20:1			3.532857142857143	p
TAG (52:1) 14:0_18:1_20:0			3.532857142857143	p
TAG (52:1) 14:1_18:0_20:0			3.532857142857143	p
TAG (52:1) 16:0_16:0_20:1			3.532857142857143	p
TAG (52:1) 16:0_16:1_20:0			3.532857142857143	p
TAG (52:1) 16:0_18:0_18:1			3.532857142857143	p
TAG (52:1) 16:1_18:0_18:0			3.532857142857143	p
TAG (52:2) 14:0_18:1_20:1		0.10142857142857141	5.797619047619048	p
TAG (52:2) 14:1_18:0_20:1		0.10142857142857141	5.797619047619048	p
TAG (52:2) 14:1_18:1_20:0		0.10142857142857141	5.797619047619048	p
TAG (52:2) 16:0_16:1_20:1		0.10142857142857141	5.797619047619048	p
TAG (52:2) 16:0_18:1_18:1		0.10142857142857141	5.797619047619048	p
TAG (52:2) 16:1_16:1_20:0		0.10142857142857141	5.797619047619048	p
TAG (52:2) 16:1_18:1_18:0		0.10142857142857141	5.797619047619048	p
TAG (52:3) 14:1_18:1_20:1			10.38	p
TAG (52:3) 16:1_16:1_20:1			10.38	p
TAG (54:2) 14:0_20:1_20:1			2.363333333333333	p
TAG (54:2) 14:1_20:1_20:0			2.363333333333333	p
TAG (54:2) 16:0_18:1_20:1			2.363333333333333	p
TAG (54:2) 16:1_18:0_20:1			2.363333333333333	p
TAG (54:2) 16:1_18:1_20:0			2.363333333333333	p
TAG (54:2) 18:1_18:1_18:0			2.363333333333333	p
TAG (54:3) 14:1_20:1_20:1			3.4522222222222223	p
TAG (54:3) 16:1_18:1_20:1			3.4522222222222223	p
TAG (54:3) 18:1_18:1_18:1			3.4522222222222223	p
TAG 54:6	4.393333333333334	15.365555555555568	6.420000000000002	T
TAG 56:6	1.733333333333333	17.28333333333333	5.076666666666668	T
