	RBC1	RBC2	RBC3	Ring 1	Ring 2	Ring 3	Trophozoite 1	Trophozoite 2	Trophozoite 3	Schizont 1	Schizont 2	Schizont 3
PC 36:5	0.0	1.475e-05	2.3875e-05	0.0004725	0.0005124999999999999	0.0	0.00024669163545568053	0.000252434456928839	0.0002790262172284644	0.0005453531598513012	0.0005988847583643124	0.00047360594795539034
PC 38:3	0.0	2.4750000000000002e-05	0.0	0.00029749999999999997	0.00016250000000000002	0.00046	0.00012084893882646705	0.0003093632958801498	0.00040898876404494384	0.00033680297397769524	0.0005568773234200744	0.0005092936802973978
PC 38:4	6.237500000000001e-05	6.7625e-05	0.00010912500000000001	0.0022125	0.001175	0.00147	0.0006571785268414494	0.0007846441947565543	0.0010228464419475656	0.0011052044609665428	0.0012977695167286246	0.0012483271375464684
PC 38:5	3.6375e-05	3.8125e-05	4.125e-05	0.0018425000000000002	0.002005	0.0017125	0.000778027465667914	0.0007588014981273409	0.0011232209737827715	0.0013252788104089219	0.0016620817843866172	0.0015494423791821562
PC 38:6	3.725e-05	5.662500000000001e-05	6.575e-05	0.0010375	0.00075	0.0008874999999999999	0.0003655430711610487	0.0003318352059925094	0.0005970037453183521	0.0005449814126394052	0.0007446096654275095	0.0005672862453531598
PC 38:7	0.0	2.0375e-05	2.05e-05	0.000425	0.0	0.0004175	0.0	9.962546816479402e-05	0.0	0.00011486988847583643	0.00014200743494423792	0.00015390334572490706
PC 40:4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.445692883895132e-05	7.509293680297399e-05	4.7955390334572496e-05	0.0
PC 40:5	0.0	0.0	0.0	0.0004825	0.0	0.0	0.00024569288389513107	0.00036292134831460675	0.00038576779026217235	0.0004197026022304833	0.0004394052044609666	0.00037992565055762083
PC 40:6	0.0	0.0	2.05e-05	0.0	0.0	0.0003125	0.0	0.0002202247191011236	0.0002973782771535581	0.0003390334572490706	0.0005561338289962826	0.00035241635687732346
PC 40:7	0.0	7.000000000000001e-06	0.0	0.000455	0.0	0.0	0.0	8.277153558052434e-05	0.0001400749063670412	0.00015241635687732343	0.00021226765799256506	0.00014052044609665426
PC O-32:0	0.0	0.0	0.0	0.0	7.5e-05	0.0	0.000222721598002497	0.00019812734082397005	0.00015318352059925095	0.0002929368029739777	0.0005475836431226766	0.00018884758364312267
PC O-34:1	0.0	1.825e-05	2.4500000000000003e-05	0.0006425	0.0	0.00037	0.00031260923845193516	0.00027303370786516855	0.00034794007490636706	0.0009605947955390335	0.001912267657992565	0.0006721189591078066
PC O-36:2	0.0	0.0	2.375e-05	0.0	0.0	0.0	0.0	0.0001307116104868914	0.0002363295880149813	0.00042490706319702604	0.0006947955390334574	0.00021115241635687732
PC O-38:4	0.0	0.0	1.4249999999999999e-05	0.0001975	0.0	0.0	0.0	0.0	8.127340823970038e-05	0.000158364312267658	0.00013828996282527883	0.00020892193308550186
PC O-38:5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.629213483146069e-05	8.178438661710038e-05	7.657992565055763e-05	7.286245353159852e-05
PE 34:1	0.00015862500000000002	0.00011862500000000001	0.000232375	0.0122525	0.007995	0.009130000000000001	0.0038751560549313484	0.004004868913857679	0.004631086142322098	0.005573234200743495	0.011022676579925651	0.003707806691449814
PE 34:2	0.0	0.0	9.350000000000001e-05	0.0039375	0.0027375	0.00216	0.0015310861423220975	0.0023891385767790263	0.002141573033707865	0.003163197026022305	0.005537174721189591	0.0021137546468401485
PE 36:1	0.0	0.0	0.0	0.0034375	0.0018275	0.00209	0.00043645443196004875	0.0005925093632958802	0.0009235955056179775	0.0022613382899628253	0.0039007434944237926	0.0016066914498141264
PE 36:2	0.0	0.0	7.575e-05	0.0031349999999999998	0.0027025	0.0023525	0.0006441947565543071	0.000547191011235955	0.0013146067415730337	0.002317472118959108	0.004023791821561339	0.0009144981412639406
PE 36:3	0.000131	7.049999999999999e-05	9.8125e-05	0.0038625	0.00359	0.00302	0.0016	0.0007913857677902622	0.0010378277153558053	0.0017910780669144982	0.0029561338289962828	0.0011687732342007436
PE 36:4	0.0	0.0	0.0001585	0.004305	0.0027075000000000003	0.0026725	0.0011465667915106106	0.0015089887640449438	0.0023707865168539326	0.0015672862453531599	0.0026892193308550192	0.001750185873605948
PE 36:5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005213483146067416	0.0006749063670411986	0.0005275092936802974	0.0006122676579925651	0.000633457249070632
PE 38:3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002836431226765799	0.0	0.0
PE 38:4	0.000126875	8.2125e-05	0.00010312500000000001	0.00395	0.0030299999999999997	0.0039425	0.0011046192259675394	0.0008692883895131087	0.001252808988764045	0.0013026022304832715	0.0016516728624535318	0.001395539033457249
PE 38:5	0.0	8.562500000000001e-05	0.00013262499999999998	0.0028975	0.0024975	0.0	0.0010846441947565545	0.0011093632958801497	0.0015292134831460674	0.0015386617100371749	0.001849814126394052	0.0011434944237918216
PE 38:6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003640449438202247	0.0005464419475655431	0.00045910780669144985	0.000871375464684015	0.0
PE 40:5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003041198501872659	0.0003093632958801498	0.0007189591078066914	0.0006691449814126395	0.0
PE 40:6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000350561797752809	0.0004951672862453532	0.0005029739776951673	0.0
