	RBC1	RBC2	RBC3	Ring 1	Ring 2	Ring 3	Trophozoite 1	Trophozoite 2	Trophozoite 3	Schizont 1	Schizont 2	Schizont 3
PC 38:5	36.375	38.125	41.25	1842.5000000000002	2004.9999999999998	1712.5	778.027465667914	758.8014981273409	1123.2209737827716	1325.2788104089218	1662.0817843866173	1549.4423791821562
PC 38:6	37.25	56.62500000000001	65.75	1037.5	750.0	887.4999999999999	365.5430711610487	331.8352059925094	597.0037453183521	544.9814126394052	744.6096654275094	567.2862453531599
PC 38:7	0.0	20.375	20.5	425.0	0.0	417.5	0.0	99.62546816479403	0.0	114.86988847583643	142.00743494423793	153.90334572490707
PC 40:4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.45692883895132	75.09293680297398	47.9553903345725	0.0
PC 40:5	0.0	0.0	0.0	482.5	0.0	0.0	245.69288389513108	362.92134831460675	385.76779026217235	419.7026022304833	439.40520446096656	379.9256505576208
PC 40:6	0.0	0.0	20.5	0.0	0.0	312.5	0.0	220.2247191011236	297.3782771535581	339.03345724907064	556.1338289962827	352.41635687732344
PC 40:7	0.0	7.000000000000001	0.0	455.0	0.0	0.0	0.0	82.77153558052434	140.0749063670412	152.41635687732344	212.26765799256506	140.52044609665427
PC O-32:0	0.0	0.0	0.0	0.0	75.0	0.0	222.721598002497	198.12734082397006	153.18352059925095	292.9368029739777	547.5836431226766	188.84758364312268
PC O-34:1	0.0	18.25	24.500000000000004	642.5	0.0	370.0	312.60923845193514	273.03370786516854	347.94007490636704	960.5947955390335	1912.267657992565	672.1189591078066
PC O-36:2	0.0	0.0	23.75	0.0	0.0	0.0	0.0	130.7116104868914	236.32958801498128	424.90706319702605	694.7955390334574	211.15241635687732
PC O-38:4	0.0	0.0	14.249999999999998	197.5	0.0	0.0	0.0	0.0	81.27340823970037	158.364312267658	138.28996282527882	208.92193308550188
PC O-38:5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.29213483146069	81.78438661710038	76.57992565055763	72.86245353159852
PE 34:1	158.62500000000003	118.62500000000001	232.375	12252.5	7995.0	9130.000000000002	3875.1560549313485	4004.8689138576788	4631.086142322098	5573.2342007434945	11022.676579925652	3707.806691449814
PE 34:2	0.0	0.0	93.50000000000001	3937.5	2737.5	2160.0	1531.0861423220977	2389.138576779026	2141.573033707865	3163.1970260223047	5537.174721189591	2113.7546468401483
PE 36:1	0.0	0.0	0.0	3437.5	1827.5	2090.0	436.45443196004874	592.5093632958802	923.5955056179776	2261.3382899628255	3900.7434944237925	1606.6914498141264
